Level,Exceedance_Frequency
3.824,0.1
4.121,0.033333333
4.386,0.01
4.638,0.003333333
4.956,0.001
5.283,0.000333333
5.662,0.0001
6.039,3.33333e-05
6.489,0.00001
6.915,3.33333e-06
