Level,Exceedance_Frequency
3.721,0.1
4.023,0.033333333
4.311,0.01
4.586,0.003333333
4.918,0.001
5.245,0.000333333
5.628,0.0001
6.010,3.33333e-05
6.463,0.00001
6.891,3.33333e-06
