Level,Exceedance_Frequency
3.587,0.1
3.890,0.033333333
4.207,0.01
4.503,0.003333333
4.846,0.001
5.171,0.000333333
5.549,0.0001
5.935,3.33333e-05
6.394,0.00001
6.826,3.33333e-06
