Level,Exceedance_Frequency
3.701,0.1
4.000,0.033333333
4.286,0.01
4.560,0.003333333
4.889,0.001
5.213,0.000333333
5.591,0.0001
5.969,3.33333e-05
6.416,0.00001
6.838,3.33333e-06
