Level,Exceedance_Frequency
4.003,0.1
4.296,0.033333333
4.535,0.01
4.755,0.003333333
5.048,0.001
5.367,0.000333333
5.724,0.0001
6.057,3.33333e-05
6.454,0.00001
6.834,3.33333e-06
