Level,Exceedance_Frequency
3.57,0.1
3.879,0.033333333
4.189,0.01
4.486,0.003333333
4.831,0.001
5.162,0.000333333
5.543,0.0001
5.929,3.33333e-05
6.384,0.00001
6.809,3.33333e-06
