Level,Exceedance_Frequency
3.736,0.1
4.037,0.033333333
4.326,0.01
4.600,0.003333333
4.931,0.001
5.258,0.000333333
5.641,0.0001
6.027,3.33333e-05
6.485,0.00001
6.918,3.33333e-06
