Level,Exceedance_Frequency
3.756,0.1
4.058,0.033333333
4.341,0.01
4.611,0.003333333
4.944,0.001
5.277,0.000333333
5.667,0.0001
6.058,3.33333e-05
6.520,0.00001
6.958,3.33333e-06
