Level,Exceedance_Frequency
3.968,0.1
4.261,0.033333333
4.503,0.01
4.723,0.003333333
5.014,0.001
5.328,0.000333333
5.683,0.0001
6.021,3.33333e-05
6.429,0.00001
6.819,3.33333e-06
