Level,Exceedance_Frequency
3.781,0.1
4.080,0.033333333
4.357,0.01
4.620,0.003333333
4.947,0.001
5.278,0.000333333
5.665,0.0001
6.053,3.33333e-05
6.515,0.00001
6.953,3.33333e-06
