Level,Exceedance_Frequency
3.947,0.1
4.242,0.033333333
4.484,0.01
4.707,0.003333333
4.997,0.001
5.306,0.000333333
5.657,0.0001
6.000,3.33e-05
6.416,0.00001
6.816,3.33e-06
