Level,Exceedance_Frequency
3.748,0.1
4.051,0.033333333
4.335,0.01
4.607,0.003333333
4.939,0.001
5.271,0.000333333
5.658,0.0001
6.048,3.33333e-05
6.511,0.00001
6.951,3.33333e-06
