Level,Exceedance_Frequency
3.627,0.1
3.937,0.033333333
4.241,0.01
4.529,0.003333333
4.859,0.001
5.174,0.000333333
5.545,0.0001
5.930,3.33333e-05
6.389,0.00001
6.824,3.33333e-06
