Level,Exceedance_Frequency
3.844,0.1
4.138,0.033333333
4.396,0.01
4.638,0.003333333
4.948,0.001
5.269,0.000333333
5.640,0.0001
6.006,3.33333e-05
6.443,0.00001
6.860,3.33333e-06
